year,plotid,tot_veg_cover,TOT_cover,TOT_ht_m,DT_cover,DT_ht_m,TOV_cover,TOV_ht_m,TSA_cover,TSA_ht_m,TSE_cover,TSE_ht_m,SH_cover,SH_ht_m,DS_cover,DS_ht_m,ST_cover,ST_ht_m,SM_cover,SM_ht_m,SL_cover,SL_ht_m,TOF_cover,TOF_ht_m,TOG_cover,TOG_ht_m
2019,VR4N,98,30,22.2,0,na,29.5,22.2,0.5,1,na,na,4,-,0.5,0.9,0,na,3,1.2,0.5,0.45,2,0.78,4,0.28
2019,VR52,99,80,23.8,4,19.2,73,23.8,3,1.3,na,na,30,-,0,na,0,na,15,0.53,15,0.27,10,0.32,10,0.8
2020,VR12,55,50,,0.25,2,50,,tr,1.6,tr,0.4,5,0.5,0,na,0,na,3,0.6,5,0.5,tr,0.2,1,0.3
2020,VR12N,60,40,,0,na,40,,0.5,2,tr,0.5,15,0.6,0,na,0,na,12,0.6,15,0.5,5,0.3,10,0.3
2020,VR13,100,70,,8,,50,,30,3,tr,0.1,25,0.7,0,na,0,na,18,0.7,25,0.5,40,0.6,15,1.2
2020,VR13N,90,70,,3,,70,,1,1.8,2,0.5,8,0.8,0,na,0,na,8,0.8,8,0.5,5,0.4,12,1.3
2020,VR16,55,40,,0,na,40,,3,2,1,0.5,10,0.9,tr,0.3,0,na,9,0.9,10,0.5,tr,0.3,2,0.5
2020,VR16N,65,65,,4,,65,,tr,1.5,tr,0.4,tr,0.1,tr,0.1,0,na,0,na,tr,0.1,0,na,tr,0.2
2020,VR20N,72,72,,7,,70,,0,na,tr,1,0,na,0,na,0,na,0,na,0,na,0,na,2,0.1
2020,VR21,43,40,,4,,40,,0,na,1.5,0.3,tr,0.4,0,na,0,na,0,na,tr,0.4,tr,0.1,3,0.3
2020,VR22,66,49,,1,,49,,2,3,5,0.5,12,0.6,0,na,0,na,12,0.6,12,0.5,tr,0.1,4,0.3
2020,VR22N,100,99,,7,,25,,70,4,tr,1,10,0.4,0,na,0,na,tr,0.6,10,0.4,15,1,25,0.8
2020,VR24,35,30,,0,na,30,,1,3,tr,0.5,5,0.4,tr,0.1,0,na,tr,0.6,5,0.4,tr,0.1,2,0.1
2020,VR24N,85,85,,2,,75,,50,3,tr,0.1,4,0.4,0,na,0,na,0,na,4,0.4,10,0.4,20,0.5
2020,VR25,85,85,,1,,85,,tr,3,0,,0,na,0,na,0,na,0,na,0,na,tr,0.1,0,na
2020,VR25N,80,80,,0,na,80,,0,na,tr,1,0,na,0,na,0,na,0,na,0,na,tr,0.1,tr,0.1
2020,VR25S,40,30,,0,na,30,,0,na,0,,tr,0.1,tr,0.1,0,na,0,na,tr,0.1,tr,0.2,10,0.5
2020,VR26,45,25,,0,na,25,,0,na,tr,0.3,20,1,tr,0.2,0,na,15,1,20,0.5,4,0.05,tr,0.3
2020,VR26N,51,50,,3,31.8,50,,0,na,1,1,0.5,0.2,tr,0.2,0,na,0,na,0.5,tr,0,na,2,0.1
2020,VR26S,25,25,,0,na,25,,0,na,tr,0.3,tr,0.2,tr,0.3,0,na,0,na,tr,0.2,tr,0.1,tr,0.1
2020,VR29,95,95,,9,,90,,12,3,tr,0.5,0,na,0,na,0,na,0,na,0,na,tr,0.1,tr,0.4
